experiment_id,dataset,seed,rank,delta_accuracy_nonent_vs_emulator,epsilon_phi_feature_error,epsilon_K_kernel_error,bound_ratio_delta_over_Aalpha_eK,macro_f1,nll,runtime_seconds
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,7,8,0.03888888888888886,0.048888888888888864,0.10016790123456785,0.3235308617629658,0.9090051427688135,0.2843827466344198,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,7,16,0.6000000000000001,0.6100000000000001,1.5921000000000003,0.3140506249607437,0.9336261739261932,0.2031872878431762,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,7,24,0.8222222222222222,0.8322222222222222,2.3570382716049383,0.29069752215717465,0.9197895809845578,0.26147255661224394,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,7,32,0.8138888888888889,0.8238888888888889,2.3265706790123457,0.2915195084589742,0.9163570994788376,0.26216627305747453,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,7,48,0.775,0.785,2.1862250000000003,0.29541027722825114,0.8954761099368206,0.3723822626884369,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,11,8,0.02777777777777779,0.03777777777777779,0.07698271604938274,0.3006927962024505,0.9314960138807333,0.193039178118801,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,11,16,0.6888888888888889,0.6988888888888889,1.8862234567901235,0.30435104176416267,0.9499211386237798,0.19726260154813002,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,11,24,0.8388888888888889,0.8488888888888889,2.41839012345679,0.289065882007008,0.9389514995274209,0.20738485194246933,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,11,32,0.8555555555555556,0.8655555555555556,2.4802975308641977,0.2874505796546711,0.92229584338297,0.24844224530194575,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,11,48,0.7472222222222222,0.7572222222222222,2.087829938271605,0.2982451653608678,0.853391058892616,0.39704958193292755,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,19,8,0.08333333333333337,0.09333333333333337,0.19537777777777784,0.3554367606915378,0.9274272242888271,0.24803579130453038,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,19,16,0.6805555555555556,0.6905555555555556,1.8579780864197533,0.30524021449707456,0.9530273811698056,0.16770871254284087,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,19,24,0.8222222222222222,0.8322222222222222,2.3570382716049383,0.29069752215717465,0.9500114907834544,0.18737332457767897,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,19,32,0.8194444444444444,0.8294444444444444,2.346866975308642,0.2909710595252483,0.9407824690363796,0.21398111549929918,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,19,48,0.7861111111111111,0.7961111111111111,2.22601512345679,0.2942893719317127,0.8822460851940767,0.3627676040953402,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,23,8,0.061111111111111116,0.07111111111111111,0.147279012345679,0.3457785675965666,0.9170449069303295,0.2125077780213884,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,23,16,0.6444444444444444,0.6544444444444444,1.7371864197530862,0.30914185773647046,0.9415875366560298,0.20089165116471616,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,23,24,0.8111111111111111,0.8211111111111111,2.3164456790123458,0.2917944211038517,0.9277023592935064,0.2482431243930371,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,23,32,0.8305555555555556,0.8405555555555556,2.3876447530864198,0.28987965179281355,0.92749491252361,0.25612475751371194,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,23,48,0.7805555555555554,0.7905555555555555,2.206089197530864,0.2948488953624291,0.8888621811021779,0.3806579032693901,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,42,8,0.061111111111111116,0.07111111111111111,0.147279012345679,0.3457785675965666,0.9442222718018588,0.2073102721422845,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,42,16,0.6833333333333333,0.6933333333333334,1.8673777777777778,0.3049433549124143,0.9494484628311923,0.17821345739291172,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,42,24,0.8083333333333333,0.8183333333333334,2.3063361111111114,0.2920697932386746,0.93896057427832,0.2056923820863858,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,42,32,0.85,0.86,2.4596,0.2879872065918578,0.9358040166459496,0.2220251840358177,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,42,48,0.7805555555555556,0.7905555555555556,2.206089197530864,0.29484889536242914,0.8791418201281216,0.3977465877478786,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,73,8,0.030555555555555558,0.04055555555555556,0.08275586419753088,0.307687717479273,0.9077527876826303,0.23926993145206568,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,73,16,0.6916666666666667,0.7016666666666667,1.8956694444444444,0.3040555886882529,0.9607624851742498,0.14490719342692368,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,73,24,0.8277777777777777,0.8377777777777777,2.377427160493827,0.29015181885594765,0.9442587731357012,0.20153815159408855,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,73,32,0.8388888888888889,0.8488888888888889,2.41839012345679,0.289065882007008,0.9447324239939332,0.21984538596929626,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,FASHION_MNIST_PROXY,73,48,0.7805555555555556,0.7905555555555556,2.206089197530864,0.29484889536242914,0.8747592757994106,0.3853105023180144,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,7,8,0.036111111111111094,0.046111111111111096,0.09434845679012342,0.31895161422229784,0.9092051043211324,0.29133796868030015,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,7,16,0.5527777777777778,0.5627777777777778,1.4422743827160496,0.31939009225184245,0.9339263402251206,0.2040312960932441,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,7,24,0.775,0.785,2.1862250000000003,0.29541027722825114,0.9284153673490076,0.23106604671230674,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,7,32,0.7805555555555556,0.7905555555555556,2.206089197530864,0.29484889536242914,0.8866989095553117,0.2856581521590553,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,7,48,0.7444444444444445,0.7544444444444445,2.078075308641975,0.29853122636627794,0.8365661442459155,0.46473533936887745,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,11,8,0.047222222222222165,0.05722222222222217,0.11771882716049371,0.33428681546581224,0.9385168210379478,0.19006944390923988,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,11,16,0.6055555555555555,0.6155555555555555,1.6100197530864198,0.3134307070843391,0.9413622670316549,0.20517452170515796,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,11,24,0.8444444444444444,0.8544444444444445,2.438964197530864,0.2885256390463266,0.9474723853749264,0.21617781286171195,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,11,32,0.7916666666666667,0.8016666666666667,2.246002777777778,0.29373170360677797,0.9252877719971815,0.24302421655797282,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,11,48,0.788888888888889,0.798888888888889,2.2360012345679015,0.2940103060964762,0.8982998618950937,0.3442455601411938,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,19,8,0.08333333333333337,0.09333333333333337,0.19537777777777784,0.3554367606915378,0.9355597927048178,0.22467622384484068,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,19,16,0.6777777777777778,0.6877777777777778,1.848593827160494,0.305537542382899,0.9504943029967314,0.16542175469004014,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,19,24,0.825,0.835,2.367225,0.2904244421210489,0.9474893329269509,0.21452318281581537,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,19,32,0.825,0.835,2.367225,0.2904244421210489,0.9360923179633662,0.22184332197149795,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,19,48,0.7999999999999999,0.8099999999999999,2.2760999999999996,0.2928986717045239,0.8800345258110035,0.37267572235146634,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,23,8,0.033333333333333326,0.04333333333333333,0.08854444444444444,0.313715648136529,0.9028821205430366,0.25625000797918773,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,23,16,0.6944444444444444,0.7044444444444444,1.9051308641975309,0.30376060489023793,0.9498186150925877,0.21593371935879777,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,23,24,0.7861111111111111,0.7961111111111111,2.22601512345679,0.2942893719317127,0.9362101404695681,0.23267869858618148,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,23,32,0.8638888888888888,0.8738888888888888,2.5114595679012344,0.2866490134296753,0.9501785848804083,0.2378208496806072,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,23,48,0.7694444444444444,0.7794444444444444,2.1664225308641973,0.2959735206630833,0.8871199716841252,0.35338837994543054,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,42,8,0.05277777777777781,0.06277777777777781,0.12949660493827167,0.3396342437119998,0.9419813665603917,0.20205611610410545,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,42,16,0.625,0.635,1.673225,0.31127513235418625,0.9720905888446092,0.14954821206135172,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,42,24,0.825,0.835,2.367225,0.2904244421210489,0.953161700924732,0.18566597503925605,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,42,32,0.8472222222222222,0.8572222222222222,2.4492743827160495,0.2882561968151565,0.927923645070617,0.23365462836718798,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,42,48,0.7611111111111111,0.7711111111111111,2.1368345679012344,0.29682188260470665,0.8570933645473288,0.39546200582219776,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,73,8,0.01666666666666672,0.02666666666666672,0.054044444444444555,0.2569901315789477,0.9245689235655188,0.2195154947652067,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,73,16,0.6833333333333333,0.6933333333333334,1.8673777777777778,0.3049433549124143,0.9636762315275682,0.1508007125349271,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,73,24,0.8416666666666667,0.8516666666666667,2.4286694444444445,0.2887955339057394,0.9610192726343773,0.17728256604300216,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,73,32,0.8333333333333333,0.8433333333333333,2.3978777777777776,0.28960794035466547,0.947925529464728,0.20646632778114998,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,KMNIST_PROXY,73,48,0.7916666666666667,0.8016666666666667,2.246002777777778,0.29373170360677797,0.8919395896772893,0.33073661673475774,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,7,8,0.050000000000000044,0.060000000000000046,0.1236000000000001,0.337108953613808,0.8989643148740196,0.29269146287307585,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,7,16,0.5527777777777778,0.5627777777777778,1.4422743827160496,0.31939009225184245,0.9389992925590069,0.21962020531632973,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,7,24,0.8027777777777777,0.8127777777777777,2.286163271604938,0.29262191803643206,0.9169240730101462,0.27102939044480734,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,7,32,0.8305555555555555,0.8405555555555555,2.3876447530864198,0.2898796517928135,0.9165328823640613,0.285042916072005,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,7,48,0.7777777777777778,0.7877777777777778,2.196149382716049,0.2951293537903885,0.8670860194119946,0.4032408222924161,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,11,8,0.02777777777777779,0.03777777777777779,0.07698271604938274,0.3006927962024505,0.9363625949203801,0.1938623079019957,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,11,16,0.638888888888889,0.648888888888889,1.7188345679012347,0.30974906913671046,0.9558328940753926,0.2087445778691286,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,11,24,0.8027777777777778,0.8127777777777778,2.2861632716049383,0.29262191803643206,0.9308607313799288,0.23544772213305443,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,11,32,0.8111111111111111,0.8211111111111111,2.3164456790123458,0.2917944211038517,0.9223269330042141,0.2586890577501917,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,11,48,0.7972222222222223,0.8072222222222223,2.2660521604938273,0.29317588687238055,0.8731982723891164,0.42695038820406556,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,19,8,0.0888888888888889,0.0988888888888889,0.20755679012345682,0.356885814383688,0.9223306140466254,0.23185535557757717,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,19,16,0.675,0.685,1.839225,0.30583533825388415,0.9478447078827944,0.158043617937968,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,19,24,0.8194444444444444,0.8294444444444444,2.346866975308642,0.2909710595252483,0.9364477099384615,0.21108641824197164,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,19,32,0.8611111111111112,0.8711111111111112,2.501056790123457,0.2869157531433626,0.9393883687636677,0.20394505571716723,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,19,48,0.8111111111111111,0.8211111111111111,2.3164456790123458,0.2917944211038517,0.8863614119786936,0.3578400272758269,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,23,8,0.0444444444444444,0.0544444444444444,0.11185308641975299,0.33112217304444763,0.916743143882762,0.22480409915451113,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,23,16,0.6527777777777778,0.6627777777777778,1.764829938271605,0.30823450446122447,0.9421726900044172,0.21263824206133755,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,23,24,0.8166666666666667,0.8266666666666667,2.336711111111111,0.2912450547778454,0.9416351410028565,0.22190033056579778,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,23,32,0.775,0.785,2.1862250000000003,0.29541027722825114,0.9218599897610501,0.23217156732200464,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,23,48,0.8083333333333333,0.8183333333333334,2.3063361111111114,0.2920697932386746,0.9061447038394752,0.32544073855884476,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,42,8,0.05833333333333335,0.06833333333333334,0.14133611111111113,0.3439397810577623,0.9416800003392878,0.21492717947774267,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,42,16,0.6611111111111112,0.6711111111111112,1.7926123456790126,0.3073313241727364,0.9556600552151153,0.15592615340805427,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,42,24,0.8527777777777777,0.8627777777777778,2.469941049382716,0.2877186677494802,0.9417172376261874,0.21344389634527047,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,42,32,0.8527777777777777,0.8627777777777778,2.469941049382716,0.2877186677494802,0.9414524360539493,0.2449887766293283,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,42,48,0.75,0.76,2.0976,0.2979595728451564,0.8574518585111587,0.42910457852485523,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,73,8,0.019444444444444486,0.02944444444444449,0.059755864197530956,0.2711650801357377,0.9230707251189681,0.24027722227968548,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,73,16,0.725,0.735,2.010225,0.3005467878802953,0.9631845013566276,0.15087647729526185,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,73,24,0.8194444444444444,0.8294444444444444,2.346866975308642,0.2909710595252483,0.9467950958758455,0.19361193345466524,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,73,32,0.8222222222222223,0.8322222222222223,2.3570382716049387,0.29069752215717465,0.9277333163823596,0.23960528324412603,0.0
EXP_SIM_3_KERNEL_NULL_BOUND,EMNIST_LETTERS_PROXY,73,48,0.7472222222222222,0.7572222222222222,2.087829938271605,0.2982451653608678,0.8669043021861608,0.4283754436301071,0.0
